TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,CURRENT,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO,CAM_STATUS,PACKET_RECV
,,,,,,,,,,,,,,,,,,,,,$I:CANSAT IS ONLINE.{FLIGHT|IDLE},,
,,,,,,,,,,,,,,,,,,,,,$I:CANSAT IS ONLINE.{FLIGHT|IDLE},,
,,,,,,,,,,,,,,,,,,,,,$I:CANSAT IS ONLINE.{FLIGHT|IDLE},,
,,,,,,,,,,,,,,,,,,,,,$I:Launch Altitude calibrated to 44330.000000,,
,,,,,,,,,,,,,,,,,,,,,$E:ERROR: UNRECOGNIZED MEC COMMAND: 1,,
,,,,,,,,,,,,,,,,,,,,,$I:SIMULATION MODE ENABLED,,
,,,,,,,,,,,,,,,,,,,,,$I:SIMULATION MODE IS ACTIVE{SIM|IDLE},,
,,,,,,,,,,,,,,,,,,,,,$E:ERROR: UNRECOGNIZED MEC COMMAND: RELEASE,,
